algo,emplacement,taille,temps
brute,data/testset1,1600,1.6327049732208252
brute,data/testset1,1600,1.713710069656372
brute,data/testset1,1600,1.635486125946045
brute,data/testset1,1600,1.612926959991455
brute,data/testset1,1600,1.6299173831939697
brute,data/testset1,1600,1.6802241802215576
brute,data/testset1,1600,1.6840128898620605
brute,data/testset1,1600,1.8192570209503174
brute,data/testset1,1600,2.387720823287964
brute,data/testset1,1600,1.6274540424346924
brute,data/testset1,200,0.026253938674926758
brute,data/testset1,200,0.02505016326904297
brute,data/testset1,200,0.025526046752929688
brute,data/testset1,200,0.026123762130737305
brute,data/testset1,200,0.025019168853759766
brute,data/testset1,200,0.025615930557250977
brute,data/testset1,200,0.02552175521850586
brute,data/testset1,200,0.026628971099853516
brute,data/testset1,200,0.030651092529296875
brute,data/testset1,200,0.0259552001953125
brute,data/testset1,3200,7.239622116088867
brute,data/testset1,3200,6.650431156158447
brute,data/testset1,3200,6.762564182281494
brute,data/testset1,3200,6.61600923538208
brute,data/testset1,3200,6.64471697807312
brute,data/testset1,3200,6.555441856384277
brute,data/testset1,3200,6.817277193069458
brute,data/testset1,3200,6.504589080810547
brute,data/testset1,3200,6.543390989303589
brute,data/testset1,3200,6.73075008392334
brute,data/testset1,400,0.09915971755981445
brute,data/testset1,400,0.09928178787231445
brute,data/testset1,400,0.09982109069824219
brute,data/testset1,400,0.0999610424041748
brute,data/testset1,400,0.10494327545166016
brute,data/testset1,400,0.09964680671691895
brute,data/testset1,400,0.10285210609436035
brute,data/testset1,400,0.10029125213623047
brute,data/testset1,400,0.10263490676879883
brute,data/testset1,400,0.10364508628845215
brute,data/testset1,6400,26.417603731155396
brute,data/testset1,6400,26.779189109802246
brute,data/testset1,6400,26.7364559173584
brute,data/testset1,6400,26.60029697418213
brute,data/testset1,6400,26.567579746246338
brute,data/testset1,6400,26.810996055603027
brute,data/testset1,6400,26.473751068115234
brute,data/testset1,6400,26.261527061462402
brute,data/testset1,6400,26.852735996246338
brute,data/testset1,6400,27.743299961090088
brute,data/testset1,800,0.4100069999694824
brute,data/testset1,800,0.40328073501586914
brute,data/testset1,800,0.39853405952453613
brute,data/testset1,800,0.40402984619140625
brute,data/testset1,800,0.39887523651123047
brute,data/testset1,800,0.4230771064758301
brute,data/testset1,800,0.405576229095459
brute,data/testset1,800,0.4399759769439697
brute,data/testset1,800,0.45127201080322266
brute,data/testset1,800,0.4260740280151367
recursif,data/testset1,102400,4.015980958938599
recursif,data/testset1,102400,4.06564998626709
recursif,data/testset1,102400,4.057196140289307
recursif,data/testset1,102400,4.081819295883179
recursif,data/testset1,102400,4.06654167175293
recursif,data/testset1,102400,4.005620002746582
recursif,data/testset1,102400,4.039040803909302
recursif,data/testset1,102400,4.074887037277222
recursif,data/testset1,102400,4.013952016830444
recursif,data/testset1,102400,4.280473947525024
recursif,data/testset1,12800,0.41133713722229004
recursif,data/testset1,12800,0.3791821002960205
recursif,data/testset1,12800,0.3769969940185547
recursif,data/testset1,12800,0.3713841438293457
recursif,data/testset1,12800,0.3894839286804199
recursif,data/testset1,12800,0.3681037425994873
recursif,data/testset1,12800,0.3943789005279541
recursif,data/testset1,12800,0.38291311264038086
recursif,data/testset1,12800,0.41445302963256836
recursif,data/testset1,12800,0.3824770450592041
recursif,data/testset1,1600,0.0343937873840332
recursif,data/testset1,1600,0.031203031539916992
recursif,data/testset1,1600,0.032093048095703125
recursif,data/testset1,1600,0.031128883361816406
recursif,data/testset1,1600,0.031333208084106445
recursif,data/testset1,1600,0.03129887580871582
recursif,data/testset1,1600,0.03077983856201172
recursif,data/testset1,1600,0.03203463554382324
recursif,data/testset1,1600,0.036123037338256836
recursif,data/testset1,1600,0.03329730033874512
recursif,data/testset1,200,0.0024080276489257812
recursif,data/testset1,200,0.0024139881134033203
recursif,data/testset1,200,0.0029790401458740234
recursif,data/testset1,200,0.0023779869079589844
recursif,data/testset1,200,0.002311229705810547
recursif,data/testset1,200,0.0026128292083740234
recursif,data/testset1,200,0.0022640228271484375
recursif,data/testset1,200,0.002147197723388672
recursif,data/testset1,200,0.0028061866760253906
recursif,data/testset1,200,0.0028340816497802734
recursif,data/testset1,25600,0.8552031517028809
recursif,data/testset1,25600,0.8434529304504395
recursif,data/testset1,25600,0.8329298496246338
recursif,data/testset1,25600,0.8338148593902588
recursif,data/testset1,25600,0.8359901905059814
recursif,data/testset1,25600,0.8694007396697998
recursif,data/testset1,25600,0.8629789352416992
recursif,data/testset1,25600,0.8465790748596191
recursif,data/testset1,25600,0.8434679508209229
recursif,data/testset1,25600,0.8559880256652832
recursif,data/testset1,3200,0.07238888740539551
recursif,data/testset1,3200,0.07604813575744629
recursif,data/testset1,3200,0.07422018051147461
recursif,data/testset1,3200,0.07404327392578125
recursif,data/testset1,3200,0.07468700408935547
recursif,data/testset1,3200,0.07153797149658203
recursif,data/testset1,3200,0.07466411590576172
recursif,data/testset1,3200,0.07995796203613281
recursif,data/testset1,3200,0.07537293434143066
recursif,data/testset1,3200,0.08433008193969727
recursif,data/testset1,400,0.006128072738647461
recursif,data/testset1,400,0.005509138107299805
recursif,data/testset1,400,0.006275177001953125
recursif,data/testset1,400,0.006498098373413086
recursif,data/testset1,400,0.006089925765991211
recursif,data/testset1,400,0.006185054779052734
recursif,data/testset1,400,0.006412982940673828
recursif,data/testset1,400,0.00539088249206543
recursif,data/testset1,400,0.0072858333587646484
recursif,data/testset1,400,0.007788181304931641
recursif,data/testset1,51200,1.9447722434997559
recursif,data/testset1,51200,1.82977294921875
recursif,data/testset1,51200,1.8536629676818848
recursif,data/testset1,51200,1.8289682865142822
recursif,data/testset1,51200,1.8403480052947998
recursif,data/testset1,51200,1.8128111362457275
recursif,data/testset1,51200,1.8303449153900146
recursif,data/testset1,51200,1.8352441787719727
recursif,data/testset1,51200,1.8402111530303955
recursif,data/testset1,51200,1.8388230800628662
recursif,data/testset1,6400,0.17441606521606445
recursif,data/testset1,6400,0.16869401931762695
recursif,data/testset1,6400,0.1655280590057373
recursif,data/testset1,6400,0.1646711826324463
recursif,data/testset1,6400,0.17915821075439453
recursif,data/testset1,6400,0.17019915580749512
recursif,data/testset1,6400,0.16977190971374512
recursif,data/testset1,6400,0.16675400733947754
recursif,data/testset1,6400,0.16559386253356934
recursif,data/testset1,6400,0.1645357608795166
recursif,data/testset1,800,0.013854026794433594
recursif,data/testset1,800,0.012990951538085938
recursif,data/testset1,800,0.015048980712890625
recursif,data/testset1,800,0.012784957885742188
recursif,data/testset1,800,0.013983011245727539
recursif,data/testset1,800,0.015796899795532227
recursif,data/testset1,800,0.014460086822509766
recursif,data/testset1,800,0.015174150466918945
recursif,data/testset1,800,0.014153003692626953
recursif,data/testset1,800,0.013327836990356445
seuil,data/testset1,102400,3.688511848449707
seuil,data/testset1,102400,3.7883830070495605
seuil,data/testset1,102400,3.7273762226104736
seuil,data/testset1,102400,3.735069990158081
seuil,data/testset1,102400,3.726541042327881
seuil,data/testset1,102400,3.6816866397857666
seuil,data/testset1,102400,3.7307610511779785
seuil,data/testset1,102400,3.7370858192443848
seuil,data/testset1,102400,3.9599318504333496
seuil,data/testset1,102400,4.449843883514404
seuil,data/testset1,12800,0.4695291519165039
seuil,data/testset1,12800,0.35956883430480957
seuil,data/testset1,12800,0.47801804542541504
seuil,data/testset1,12800,0.40385985374450684
seuil,data/testset1,12800,0.5248370170593262
seuil,data/testset1,12800,1.3998000621795654
seuil,data/testset1,12800,0.5974941253662109
seuil,data/testset1,12800,0.5500290393829346
seuil,data/testset1,12800,0.4058222770690918
seuil,data/testset1,12800,0.38433384895324707
seuil,data/testset1,1600,0.08554697036743164
seuil,data/testset1,1600,0.09477019309997559
seuil,data/testset1,1600,0.05052995681762695
seuil,data/testset1,1600,0.0722050666809082
seuil,data/testset1,1600,0.19910025596618652
seuil,data/testset1,1600,0.06638407707214355
seuil,data/testset1,1600,0.12732696533203125
seuil,data/testset1,1600,0.06427693367004395
seuil,data/testset1,1600,0.05297207832336426
seuil,data/testset1,1600,0.042530059814453125
seuil,data/testset1,200,0.002044200897216797
seuil,data/testset1,200,0.011254072189331055
seuil,data/testset1,200,0.00499415397644043
seuil,data/testset1,200,0.00400090217590332
seuil,data/testset1,200,0.003225088119506836
seuil,data/testset1,200,0.006532907485961914
seuil,data/testset1,200,0.0030663013458251953
seuil,data/testset1,200,0.0031270980834960938
seuil,data/testset1,200,0.00409698486328125
seuil,data/testset1,200,0.002427816390991211
seuil,data/testset1,25600,1.556075096130371
seuil,data/testset1,25600,1.7205398082733154
seuil,data/testset1,25600,1.0785229206085205
seuil,data/testset1,25600,1.3145520687103271
seuil,data/testset1,25600,0.989487886428833
seuil,data/testset1,25600,0.9993188381195068
seuil,data/testset1,25600,1.1406981945037842
seuil,data/testset1,25600,0.975877046585083
seuil,data/testset1,25600,0.9856071472167969
seuil,data/testset1,25600,0.9727187156677246
seuil,data/testset1,3200,0.14705777168273926
seuil,data/testset1,3200,0.09185791015625
seuil,data/testset1,3200,0.07878398895263672
seuil,data/testset1,3200,0.08424496650695801
seuil,data/testset1,3200,0.09249496459960938
seuil,data/testset1,3200,0.07715511322021484
seuil,data/testset1,3200,0.08107519149780273
seuil,data/testset1,3200,0.07636713981628418
seuil,data/testset1,3200,0.08534502983093262
seuil,data/testset1,3200,0.08433103561401367
seuil,data/testset1,400,0.0067861080169677734
seuil,data/testset1,400,0.006140947341918945
seuil,data/testset1,400,0.00608515739440918
seuil,data/testset1,400,0.0076982975006103516
seuil,data/testset1,400,0.006050825119018555
seuil,data/testset1,400,0.005515098571777344
seuil,data/testset1,400,0.005749940872192383
seuil,data/testset1,400,0.006655216217041016
seuil,data/testset1,400,0.0056209564208984375
seuil,data/testset1,400,0.004746913909912109
seuil,data/testset1,51200,2.2041878700256348
seuil,data/testset1,51200,2.1551451683044434
seuil,data/testset1,51200,2.459096908569336
seuil,data/testset1,51200,2.3016293048858643
seuil,data/testset1,51200,2.1235079765319824
seuil,data/testset1,51200,2.1062610149383545
seuil,data/testset1,51200,2.0939748287200928
seuil,data/testset1,51200,2.1689209938049316
seuil,data/testset1,51200,2.7253410816192627
seuil,data/testset1,51200,2.5745368003845215
seuil,data/testset1,6400,0.18316292762756348
seuil,data/testset1,6400,0.20906496047973633
seuil,data/testset1,6400,0.18749308586120605
seuil,data/testset1,6400,0.18633508682250977
seuil,data/testset1,6400,0.20545697212219238
seuil,data/testset1,6400,0.18900299072265625
seuil,data/testset1,6400,0.1900167465209961
seuil,data/testset1,6400,0.20573687553405762
seuil,data/testset1,6400,0.18871569633483887
seuil,data/testset1,6400,0.26816511154174805
seuil,data/testset1,800,0.02083110809326172
seuil,data/testset1,800,0.02653217315673828
seuil,data/testset1,800,0.027151107788085938
seuil,data/testset1,800,0.011714935302734375
seuil,data/testset1,800,0.019324779510498047
seuil,data/testset1,800,0.020702123641967773
seuil,data/testset1,800,0.019958019256591797
seuil,data/testset1,800,0.017052173614501953
seuil,data/testset1,800,0.012763738632202148
seuil,data/testset1,800,0.016821861267089844
